"Award_Num","Abstract","Discipline","End_Year","Funding_Agency","PI","Place","Program","Project_Title","Region","Season","Start_Year"
"0806338","This grant supports the continued operation of, and analysis of data from, a closely-spaced array of four search coil magnetometers (induction antennas) the installation of which began in September 2006 on Svalbard, Norway, for studies of ULF waves and associated phenomena in Earth’s space environment. In addition to induction coil magnetometers, instruments on Svalbard include numerous auroral imagers and photometers, multiple radars including EISCAT, SPEAR, and SuperDARN, and the northernmost stations in the IMAGE array of fluxgate magnetometers. Such a complete suite of instruments enables the association of various features in the observations with specific magnetospheric regions, such as the plasma sheet, low latitude boundary layer, cusp proper, or plasma mantle, with more confidence and reliability than in earlier studies at other locations. The role of induction coil magnetometers is to detect magnetic fluctuations in the frequency range 0.02 - 5 Hz. This project is part of an international effort by the space science community to better understand the dynamics of Earth’s magnetosphere and of its interaction with the solar wind and IMF.","Space Physics","2010","","Lessard, Marc","Svalbard","","Collaborative Research: Continued study of ULF waves at cusp latitudes on Svalbard to probe Earth's space environment","Norway ","2008","2008"
"0806339","This grant funds the participation of a group of US scientists in the North Eemian (NEEM) Deep Ice Core Project, a project designed to acquire a new ice core in northern Greenland. NEEM is an international effort, led by the glaciology group at the University of Copenhagen. More than a dozen countries have expressed a desire to participate. The US is a main partner in NEEM. US scientists will take the lead on gas and gas isotope analyses and studies of the physics of gas incorporation into ice, they will place the modern climate in the context of the past two millennia, and they will help provide the basic temperature records in the ice needed to place all analyses in a climate context. A particular focus of the project will be on high temporal resolution to explore abrupt climate shifts. The most prominent analyses will focus on gas concentrations, in particular carbon monoxide, and stable isotopes of oxygen, hydrogen, argon, krypton, and carbon. A final subproject will focus on firn processes in order to understand the advection and diffusion of gases through the snow and ice and the development of ice bubbles that preserve the atmospheric gases.","Cryosphere","2012","","Baker, Ian","Kangerlussuaq, NEEM","","Collaborative Research: the NEEM Deep Ice Core","Greenland ","2009, 2010, 2011, 2012","2008"
"0806341","Recent summaries of international research clearly document the past and future extent of climate warming in the Arctic. These summaries suggest that in the future, rising temperatures will be accompanied by increased precipitation, mostly as rain: 20% more over the Arctic as a whole and up to 30% more in coastal areas during the winter and autumn. These climate changes will have important impacts on arctic systems.     Of direct interest to this research is the likelihood that warming will promote permafrost degradation and thaw. Formerly frozen soils may be further destabilized by increased precipitation, leading to hillslope thermokarst failures. Recent work has documented that thermokarst failures are abundant and appear to have become more numerous around Toolik Lake on the eastern North Slope and in the western Noatak River basin in Alaska. A widespread and long-term increase in the incidence of thermokarst failures may have important impacts on the structure and function of arctic headwater landscapes.     This research will use a systems approach to address hypotheses about how thermokarst failures influence the structure and function of the arctic landscape. It will focus on the composition of vegetation, the distribution and processing of soil nutrients and exports of sediments and nutrients to stream and lake ecosystems. Results obtained at this hillslope scale will be linked to patterns observed at the landscape scale to test hypotheses about the spatial distribution of thermokarst failures in the arctic foothills. It is important to understand these interactions because perhaps the greatest potential impacts of changing land surface processes and formation of thermokarst failures are feedbacks to the climate system through energy, albedo, water, and trace gas exchange. This research is designed to quantify linkages among climatology, hillslope hydrology, geomorphology, geocryology, community ecology of vegetation, soil nutrient dynamics, microbial ecology, trace gas dynamics, and aquatic ecology. It will employ a combination of field experimentation, remote sensing, and simulation modeling as a means to quantify these relationships.","Biology","2013","","Gooseff, Michael","Anaktuvuk Pass, Feniak Lake, Kotzebue, Toolik, Upper Noatak River","","Collaborative Research: Spatial and Temporal Influences of Thermokarst Failures on Surface Processes in Arctic Landscapes","Alaska ","2009, 2010, 2011, 2012, 2013","2008"
"0806377","This grant funds the participation of a group of US scientists in the North Eemian (NEEM) Deep Ice Core Project, a project designed to acquire a new ice core in northern Greenland. NEEM is an international effort, led by the glaciology group at the University of Copenhagen. More than a dozen countries have expressed a desire to participate. The US is a main partner in NEEM. US scientists will take the lead on gas and gas isotope analyses and studies of the physics of gas incorporation into ice, they will place the modern climate in the context of the past two millennia, and they will help provide the basic temperature records in the ice needed to place all analyses in a climate context. A particular focus of the project will be on high temporal resolution to explore abrupt climate shifts. The most prominent analyses will focus on gas concentrations, in particular carbon monoxide, and stable isotopes of oxygen, hydrogen, argon, krypton, and carbon. A final subproject will focus on firn processes in order to understand the advection and diffusion of gases through the snow and ice and the development of ice bubbles that preserve the atmospheric gases.","Cryosphere","2012","","Severinghaus, Jeffrey","Kangerlussuaq, NEEM","","Collaborative Research: the NEEM Deep Ice Core","Greenland ","2009, 2010, 2011, 2012","2008"
"0806387","This grant funds the participation of a group of US scientists in the North Eemian (NEEM) Deep Ice Core Project, a project designed to acquire a new ice core in northern Greenland. NEEM is an international effort, led by the glaciology group at the University of Copenhagen. More than a dozen countries have expressed a desire to participate. The US is a main partner in NEEM. US scientists will take the lead on gas and gas isotope analyses and studies of the physics of gas incorporation into ice, they will place the modern climate in the context of the past two millennia, and they will help provide the basic temperature records in the ice needed to place all analyses in a climate context. A particular focus of the project will be on high temporal resolution to explore abrupt climate shifts. The most prominent analyses will focus on gas concentrations, in particular carbon monoxide, and stable isotopes of oxygen, hydrogen, argon, krypton, and carbon. A final subproject will focus on firn processes in order to understand the advection and diffusion of gases through the snow and ice and the development of ice bubbles that preserve the atmospheric gases.","Cryosphere","2012","","","Kangerlussuaq, NEEM","","Collaborative Research: the NEEM Deep Ice Core
","Greenland ","2009, 2010, 2011, 2012","2008"
"0806393","Over the last decade, satellite observations have shown that the floating ice tongues in Greenland's fjords have been retreating and that some outlet glaciers are doubling speed en route to the ocean. The purpose of this project is to improve the understanding of the role of the ocean in such fast, dynamical changes at the margin of the Greenland Ice Sheet, and to quantify the potential for contribution of such change to future global sea level. This will be achieved by making oceanographic and meteorological observations over a period of five years at two key fjords: one on the west coast, Jakobshavn, and the other on the east coast, Helheim. Observations of the hydrography, particularly water temperature, and bathymetry deep into these fjords are critical elements in understanding how ocean waters interact with the margin of the Greenland Ice Sheet. The oceanographic and meteorological observations will be used to develop and validate a coupled ocean- ice sheet computer model that will enable improved understanding of processes that contribute to sea level rise. The broader impacts of the study include the involvement of two graduate students in the computer modeling and fieldwork. The principal investigator and graduate students will also give talks in the Greenland settlements where they will be based, and the PI will continue his collaboration with the Ilulissat Museum near Jakobshavn Fjord.","Cryosphere","2013","","","Ilulissat, Kangerlussuaq, Nuuk, Tasiilaq","","Observations and Modeling of Ocean - Ice Sheet Interaction in Jakobshavn and Helheim Ice Fjords, Greenland","Greenland ","2009, 2010, 2011, 2012, 2013","2009"
"0806394","Recent summaries of international research clearly document the past and future extent of climate warming in the Arctic. These summaries suggest that in the future, rising temperatures will be accompanied by increased precipitation, mostly as rain: 20% more over the Arctic as a whole and up to 30% more in coastal areas during the winter and autumn. These climate changes will have important impacts on arctic systems.     Of direct interest to this research is the likelihood that warming will promote permafrost degradation and thaw. Formerly frozen soils may be further destabilized by increased precipitation, leading to hillslope thermokarst failures. Recent work has documented that thermokarst failures are abundant and appear to have become more numerous around Toolik Lake on the eastern North Slope and in the western Noatak River basin in Alaska. A widespread and long-term increase in the incidence of thermokarst failures may have important impacts on the structure and function of arctic headwater landscapes.     This research will use a systems approach to address hypotheses about how thermokarst failures influence the structure and function of the arctic landscape. It will focus on the composition of vegetation, the distribution and processing of soil nutrients and exports of sediments and nutrients to stream and lake ecosystems. Results obtained at this hillslope scale will be linked to patterns observed at the landscape scale to test hypotheses about the spatial distribution of thermokarst failures in the arctic foothills. It is important to understand these interactions because perhaps the greatest potential impacts of changing land surface processes and formation of thermokarst failures are feedbacks to the climate system through energy, albedo, water, and trace gas exchange. This research is designed to quantify linkages among climatology, hillslope hydrology, geomorphology, geocryology, community ecology of vegetation, soil nutrient dynamics, microbial ecology, trace gas dynamics, and aquatic ecology. It will employ a combination of field experimentation, remote sensing, and simulation modeling as a means to quantify these relationships.","Biology","2013","","","Anaktuvuk Pass, Feniak Lake, Kotzebue, Toolik, Upper Noatak River","","Collaborative Research: Spatial and Temporal Influences of Thermokarst Failures on Surface Processes in Arctic Landscapes","Alaska ","2009, 2010, 2011, 2012, 2013","2008"
"0806399","Recent summaries of international research clearly document the past and future extent of climate warming in the Arctic. These summaries suggest that in the future, rising temperatures will be accompanied by increased precipitation, mostly as rain: 20% more over the Arctic as a whole and up to 30% more in coastal areas during the winter and autumn. These climate changes will have important impacts on arctic systems.     Of direct interest to this research is the likelihood that warming will promote permafrost degradation and thaw. Formerly frozen soils may be further destabilized by increased precipitation, leading to hillslope thermokarst failures. Recent work has documented that thermokarst failures are abundant and appear to have become more numerous around Toolik Lake on the eastern North Slope and in the western Noatak River basin in Alaska. A widespread and long-term increase in the incidence of thermokarst failures may have important impacts on the structure and function of arctic headwater landscapes.     This research will use a systems approach to address hypotheses about how thermokarst failures influence the structure and function of the arctic landscape. It will focus on the composition of vegetation, the distribution and processing of soil nutrients and exports of sediments and nutrients to stream and lake ecosystems. Results obtained at this hillslope scale will be linked to patterns observed at the landscape scale to test hypotheses about the spatial distribution of thermokarst failures in the arctic foothills. It is important to understand these interactions because perhaps the greatest potential impacts of changing land surface processes and formation of thermokarst failures are feedbacks to the climate system through energy, albedo, water, and trace gas exchange. This research is designed to quantify linkages among climatology, hillslope hydrology, geomorphology, geocryology, community ecology of vegetation, soil nutrient dynamics, microbial ecology, trace gas dynamics, and aquatic ecology. It will employ a combination of field experimentation, remote sensing, and simulation modeling as a means to quantify these relationships.","Biology","2013","","Crosby, Benjamin","Anaktuvuk Pass, Feniak Lake, Kotzebue, Toolik, Upper Noatak River","","Collaborative Research: Spatial and Temporal Influences of Thermokarst Failures on Surface Processes in Arctic Landscapes","Alaska ","2009, 2010, 2011, 2012, 2013","2008"
"0806407","This grant funds the participation of a group of US scientists in the North Eemian (NEEM) Deep Ice Core Project, a project designed to acquire a new ice core in northern Greenland. NEEM is an international effort, led by the glaciology group at the University of Copenhagen. More than a dozen countries have expressed a desire to participate. The US is a main partner in NEEM. US scientists will take the lead on gas and gas isotope analyses and studies of the physics of gas incorporation into ice, they will place the modern climate in the context of the past two millennia, and they will help provide the basic temperature records in the ice needed to place all analyses in a climate context. A particular focus of the project will be on high temporal resolution to explore abrupt climate shifts. The most prominent analyses will focus on gas concentrations, in particular carbon monoxide, and stable isotopes of oxygen, hydrogen, argon, krypton, and carbon. A final subproject will focus on firn processes in order to understand the advection and diffusion of gases through the snow and ice and the development of ice bubbles that preserve the atmospheric gases.","Cryosphere","2012","","Sowers, Todd","Kangerlussuaq, NEEM","","Collaborative Research: the NEEM Deep Ice Core","Greenland ","2009, 2010, 2011, 2012","2008"
"0806414","This grant funds the participation of a group of US scientists in the North Eemian (NEEM) Deep Ice Core Project, a project designed to acquire a new ice core in northern Greenland. NEEM is an international effort, led by the glaciology group at the University of Copenhagen. More than a dozen countries have expressed a desire to participate. The US is a main partner in NEEM. US scientists will take the lead on gas and gas isotope analyses and studies of the physics of gas incorporation into ice, they will place the modern climate in the context of the past two millennia, and they will help provide the basic temperature records in the ice needed to place all analyses in a climate context. A particular focus of the project will be on high temporal resolution to explore abrupt climate shifts. The most prominent analyses will focus on gas concentrations, in particular carbon monoxide, and stable isotopes of oxygen, hydrogen, argon, krypton, and carbon. A final subproject will focus on firn processes in order to understand the advection and diffusion of gases through the snow and ice and the development of ice bubbles that preserve the atmospheric gases.","Cryosphere","2012","","Brook, Edward","Kangerlussuaq, NEEM","","Collaborative Research: the NEEM Deep Ice Core","Greenland ","2009, 2010, 2011, 2012","2008"
"0806428","This grant (WCCY) will involve K-12 students in exploration of climate change issues, beginning with a simple, personal question: What is climate change to you? The overarching objectives of WCCY are to 1) inspire students to examine how climate change affects their own lives and the lives of those around them; 2) to involve students in doing the science of snow and climate; and 3) to connect students with each other and the wider world through science and study of climate change. WCCY builds on an exploratory network established by the PI with an earlier awarded NSF SGER (0723521).    The vehicle for WCCY is GoNorth! and North of 60. Developed at the University of Minnesota in collaboration with NOMADS Online Classroom Expeditions, GoNorth! (http://PolarHusky.com ) is a free adventure learning project for the K-12 Classroom anchored in social and natural science curriculum. Used by more than three million learners, participation includes teachers in 4500+ schools - across the 50 US states and worldwide on five continents. Educators and scientists will dog sled to circumpolar Arctic locations, visiting communities and conducting experiments en route. A 500+ page Curriculum & Activity Guide is developed each year reflecting the expedition’s current Arctic locale, its indigenous culture and the field research. The online learning environment delivers comprehensive resources about the region of travel, collaborative opportunities, live field updates and field research findings synched real-time to the curriculum. Field research relevant to understanding patterns of climate change include documenting environmental observations; and collecting snow cover measurements and crystal samples in a cryosphere research effort by NASA.    These will in turn provide WCCY scientists with longitudinal climate-related data and observations. Students will 1) document local environmental observations within online Community Climate Diaries and in the format of photo-stories, and 2) collect snow depth and SWE measurements, snow crystal observations and temperature data sets. The students will be trained during field expeditions to their locales and thereafter supported by regional science advisors and returning team members. Web casts will take place each year building the WCCY community. By 2011 forty schools in Alaska, Russia, Finland, Norway, Sweden, Greenland, Canada, and the US will be part of the WCCY network. WCCY students and teachers will have the opportunity to do science and inquiry, while working with scientists on the most significant issue of our times – climate change.","Education and Outreach","2013","","","Clyde River, Ilulissat, Iqaluit, Kangerlussuaq, Kotzebue, NEEM, Pangnirtung, Pituffik Space Base, Qaanaaq, Qikiqtarjuaq, Siorapaluk, Uummannaq","","What’s Climate Change to You? / North of 60: Students Doing Science in a Global Network","Canada ","2009, 2010, 2013","2009"
"0806437","This project is part of the US contribution to an IPY research program called OASIS (for Ocean, Air, Sea Ice and Snow interactions). OASIS is an interdisciplinary study involving scientific contributions from the USA, Canada, France, Germany, Italy, the UK, and others. The main objective is to better understand air-surface chemical interactions in the Arctic, and how these will evolve in future climates. In particular, OASIS will focus on quantitative and reliable determination of chemical and biological fluxes to and from ice and snow surfaces, as a function of the nature of the surface and other relevant environmental conditions.      This grant funds the PI’s participation in OASIS 2009, an integrated suite of instruments deployed at Barrow, Alaska, that will allow for the most comprehensive study to date of the photochemistry and trace gas exchange processes and their impact on the overlying atmosphere. The research activities will consist of measurements of key chemical species active in the Arctic boundary layer photochemistry, including HOx, NOx/NOy, O3, halocarbons, organics and aerosols, as well as driving environmental factors such as actinic radiation. The project will result in a detailed study of the complex photochemical interactions between the relevant chemical families during background conditions and during periods of elevated halogen activity, using the most comprehensive set of measurements obtained to date. The data will also significantly advance the understanding of the overall oxidative capacity of the Arctic troposphere, of surface ozone depletion events, and of the nature and importance of aerosol production in this region.     In addition, parameterizations of the emissions of halogens and NOx will be incorporated into CAM-Chem (a global chemistry-transport model) for studies of regional- and hemispheric-scale air quality impacts, and the Community Climate System Model (CCSM) will be used to conduct some of the first studies of the impact of climate change on OASIS processes. A major initial focus will be on changing sea ice characteristics, and in particular first-year sea ice which has been shown to correlate with halogen activation. Broader Impacts include the participation of at least one graduate student and one postdoctoral fellow, and will contribute to the educational experience for other University students participating in the mission. The project will also fully include two SOARS (Significant Opportunities in Atmospheric Research and Science) protégés and a Denver-area high school teacher in the field measurement program, and will take part in outreach activities in Barrow and nearby communities on the North Slope of Alaska.  	  OASIS work will be coordinated with several IPY projects--Circumpolar Flaw Lead (CFL), Study of Environmental Arctic Change (SEARCH), Arctic Observing Network (AON), and Arctic Summer Cloud-Ocean Study (ASCOS).","Meteorology and Climate","2011","","","Utqiaġvik","","The OASIS-2009 Field Mission: Studies of Photochemistry and Trace Gas Exchange in the Arctic in the Context of a Changing Climate","Alaska ","2009","2008"
"0806450","This grant supports researchers testing the hypothesis that cosmic rays produce small amounts of the 14C isotope of methane (14CH4) in the upper layers of snow turning into ice (firn). This research will help determine present and past sources of methane in the atmosphere and refine our understanding of methane’s role in climate warming. Methane and other gases will be extracted from firn at Summit, Greenland by melting 1.5 tons of firn under vacuum. The ratio of 14CH4 to 12CH4 will be determined to test the hypothesis that cosmic rays generate 14C atoms that react with hydrogen to produce 14CH4 in the ice. The study is expected to provide a definitive test of the hypothesis that fossil sources of methane contributed to the rapid increases in methane concentration at the end of the last glacial period.","Geological Sciences","2010","","","Kangerlussuaq, Summit","","Is There Cosmogenic Radiomethane in Polar Firn? 
","Greenland ","2009","2009"
"0806451","Recent summaries of international research clearly document the past and future extent of climate warming in the Arctic. These summaries suggest that in the future, rising temperatures will be accompanied by increased precipitation, mostly as rain: 20% more over the Arctic as a whole and up to 30% more in coastal areas during the winter and autumn. These climate changes will have important impacts on arctic systems.     Of direct interest to this research is the likelihood that warming will promote permafrost degradation and thaw. Formerly frozen soils may be further destabilized by increased precipitation, leading to hillslope thermokarst failures. Recent work has documented that thermokarst failures are abundant and appear to have become more numerous around Toolik Lake on the eastern North Slope and in the western Noatak River basin in Alaska. A widespread and long-term increase in the incidence of thermokarst failures may have important impacts on the structure and function of arctic headwater landscapes.     This research will use a systems approach to address hypotheses about how thermokarst failures influence the structure and function of the arctic landscape. It will focus on the composition of vegetation, the distribution and processing of soil nutrients and exports of sediments and nutrients to stream and lake ecosystems. Results obtained at this hillslope scale will be linked to patterns observed at the landscape scale to test hypotheses about the spatial distribution of thermokarst failures in the arctic foothills. It is important to understand these interactions because perhaps the greatest potential impacts of changing land surface processes and formation of thermokarst failures are feedbacks to the climate system through energy, albedo, water, and trace gas exchange. This research is designed to quantify linkages among climatology, hillslope hydrology, geomorphology, geocryology, community ecology of vegetation, soil nutrient dynamics, microbial ecology, trace gas dynamics, and aquatic ecology. It will employ a combination of field experimentation, remote sensing, and simulation modeling as a means to quantify these relationships.","Biology","2013","","Schimel, Joshua","Anaktuvuk Pass, Feniak Lake, Kotzebue, Toolik, Upper Noatak River","","Collaborative Research: Spatial and Temporal Influences of Thermokarst Failures on Surface Processes in Arctic Landscapes","Alaska ","2009, 2010, 2011, 2012, 2013","2008"
"0806463","This grant supports work to test a set of hypotheses that address the process of glacier calving into a freshwater lake, the dynamical effect of a calving retreat on the glacier system, and the relative contributions of mass loss due to surface melting and calving. The research team will take a ""whole glacier"" approach to data acquisition and monitoring to achieve these goals, an approach that involves observations in the proglacial lake, at the glacier front, and along the entire glacier surface. These observations include: 1) thinning rates through surface mass balance, laser profiling, and photogrammetry; 2) ice thickness and bed geometry by radio echo sounding (RES) and lake bathymetry; 3) ice velocity and strain rates by continuous and campaign-style GPS, and by remote sensing techniques; 4) changes in terminus position by photogrammetry; and 5) the lake environment, including water level fluctuations and water temperature. This comprehensive set of observations will be diagnosed and interpreted with the help of numerical models, which will include ice flow, upward bending of a floating terminus, and large scale force balances. The target of investigation is Yakutat Glacier in southeastern Alaska.     Field components of the project will be complemented by the development of a lake glacier calving “law” that can be incorporated into dynamical models of glacier flow. Both observational and modeling results will be compared with data from other glaciers around the world through international collaborations established by the principal investigators.","Geological Sciences","2011","","","Yakutat Glacier","","Dynamics of Lake-Calving Glaciers: Yakutat Glacier, Alaska","Alaska ","2009, 2010, 2011","2008"
"0806465","Recent summaries of international research clearly document the past and future extent of climate warming in the Arctic. These summaries suggest that in the future, rising temperatures will be accompanied by increased precipitation, mostly as rain: 20% more over the Arctic as a whole and up to 30% more in coastal areas during the winter and autumn. These climate changes will have important impacts on arctic systems.     Of direct interest to this research is the likelihood that warming will promote permafrost degradation and thaw. Formerly frozen soils may be further destabilized by increased precipitation, leading to hillslope thermokarst failures. Recent work has documented that thermokarst failures are abundant and appear to have become more numerous around Toolik Lake on the eastern North Slope and in the western Noatak River basin in Alaska. A widespread and long-term increase in the incidence of thermokarst failures may have important impacts on the structure and function of arctic headwater landscapes.     This research will use a systems approach to address hypotheses about how thermokarst failures influence the structure and function of the arctic landscape. It will focus on the composition of vegetation, the distribution and processing of soil nutrients and exports of sediments and nutrients to stream and lake ecosystems. Results obtained at this hillslope scale will be linked to patterns observed at the landscape scale to test hypotheses about the spatial distribution of thermokarst failures in the arctic foothills. It is important to understand these interactions because perhaps the greatest potential impacts of changing land surface processes and formation of thermokarst failures are feedbacks to the climate system through energy, albedo, water, and trace gas exchange. This research is designed to quantify linkages among climatology, hillslope hydrology, geomorphology, geocryology, community ecology of vegetation, soil nutrient dynamics, microbial ecology, trace gas dynamics, and aquatic ecology. It will employ a combination of field experimentation, remote sensing, and simulation modeling as a means to quantify these relationships.","Biology","2013","","Jones, Jeremy (Jay)","Anaktuvuk Pass, Feniak Lake, Kotzebue, Toolik, Upper Noatak River","","Collaborative Research: Spatial and Temporal Influences of Thermokarst Failures on Surface Processes in Arctic Landscapes","Alaska ","2009, 2010, 2011, 2012, 2013","2008"
"0806506","Studies of Arctic vegetation change have typically been done at either the plot level or at regional/ecosystem scales. The intermediate scales associated with patches of individual shrubs have largely been ignored. This research will explore patch scale dynamics of arctic shrub expansion by quantifying and modeling the changes in shrub cover previously documented by repeat photography for the Colville River basin. The PI will acquire additional historic aerial photographs of the same sites and the shrubs mapped to determine in more detail the changes that have occurred over the latter half of the 20th century. The approach relies on the spatial characteristics of the expansion as the critical indicator of whether we understand the process. Cellular models will be developed that rely on a set of simple rules to determine how much shrub cover increases and if the pattern matches those patterns shown in the Colville photos. A similar approach has been effective for modeling forest expansion at the alpine treeline. The PI will manipulate the strength of feedbacks between existing vegetation and the establishment probabilities of new shrubs to develop plausible hypotheses to guide future experimental research. Although the controls on establishment and expansion in this version of the model are relatively simple and not explicitly based on the biogeochemical processes that are thought to be the key controls on shrub growth in the Arctic, the model produced here can easily be modified in the future to include these processes more explicitly once the patch level controls are known.    The model that will be created is a very simple stochastic cellular model that is spatially explicit. The model will use a logistic growth model and place the new shrubs on the landscape in ways that test the importance of different types of reproduction and with different feedback strengths. This project will expand significantly what scientists are currently able to learn from the repeat photo pairs and serve as a crucial link between the plot and ecosystem scales that currently characterize research on this topic.","Biology","2012","","","Anaktuvuk Pass, Atqasuk, Kaktovik, Utqiaġvik","","Modeling patch-scale expansion of arctic shrubs","Alaska ","2009, 2010, 2012","2008"
"0806575","This project seeks to document and revitalize the Weledeh dialect of Dogrib (Tlicho Yatiì; Northern Athabaskan), a previously undocumented dialect spoken by the Yellowknives Dene, living in and around the communities of Dettah, Ndilo, and Yellowknife, Northwest Territories, Canada.     Due to the community's proximity to the town of Yellowknife, language loss is more advanced among the Yellowknives Dene, and there are few fully fluent speakers under the age of 40. The researcher, Alessandro Jaker, will be engaged in two main activities:   1) Developing beginners-level communicative teaching materials in Weledeh Dogrib, suitable for classroom use;   2) Developing an intermediate level Dogrib language reader, consisting of stories told by local elders. These stories will come with a glossary and footnotes, to help students still learning the language. They also will provide students with an opportunity to learn about traditional legends and local history.     Alessandro Jaker has been working with the Yellowknives Dene for several years; these materials will be produced in collaboration with the Goyatiko Language Center in Dettah, and eventually used for language classes in the community.","Social and Human Sciences","2010","","","Yellowknife","","Dogrib Language Documentation and Revitalization in Yellowknife, Northwest Territories","Canada ","2009","2009"
"0806643","Recent climate change has dramatically impacted the Arctic, and models suggest that accelerated effects will occur in the future as CO2 continues to accumulate in the atmosphere. In particular, oxidation of organic carbon stored in permafrost might create a positive feedback to global warming. While numerous studies have focused on the relationship between warming and carbon cycling in the Arctic, specific effects of rising atmospheric CO2 levels on chemical weathering processes and coupled changes in organic carbon dynamics have received relatively little attention. This project has two integrated goals: to identify mineral weathering reactions and hydrologic processes that control how and at what rate the inorganic solute geochemistry of water evolves during transport within soils and streams and to establish linkages between chemical weathering phenomena and organic carbon export. The work will focus on the major ion and isotope geochemistry of headwater streams and creeks draining the North Slope of Alaska. Based on preliminary data, the guiding hypothesis of the work is that the ratio of carbonate to silicate weathering fluctuates in response to seasonal changes in discharge and permafrost active layer depth, with the highest ratios observed during base flow conditions and maximum active layer depth and the lowest ratios observed during peak flow conditions and minimum active layer depth. To test this hypothesis and its implications for understanding organic carbon export, the team will: 1) Quantify rates of major cation release, CO2 consumption, and dissolved inorganic carbon (DIC) production by carbonate and silicate weathering; 2) Evaluate controls on the Ca, Sr, and C (of DIC) isotope composition of rivers and soils; and 3) Establish relationships between these tracers and other river water constituents, including H and O isotopes of water, organic matter concentrations, and the isotope composition of organic matter (both C and N). The research team will collect water, sediment, bedrock, and soil samples. Water sampling will occur from spring thaw through fall freeze-up. In the laboratory, they will conduct leaching and digestion experiments to quantify mineral weathering end members. They will synthesize data using mass-balance modeling, carbonate equilibria calculations, hydrograph separations, and elemental and isotope mixing equations. This study represents one of the first integrative efforts to elucidate fundamental linkages between the isotope and organic geochemistry of arctic Alaskan rivers. Because warming will likely alter the ratio of carbonate to silicate weathering via several feedback mechanisms, this study will establish a novel method for monitoring arctic environmental change at the watershed scale.","Biology","2011","","","Toolik","","Collaborative Research: Chemical Weathering and Organic Carbon Export From Arctic Watersheds, North Slope, AK","Alaska ","2009, 2010","2008"
"0806714","Recent climate change has dramatically impacted the Arctic, and models suggest that accelerated effects will occur in the future as CO2 continues to accumulate in the atmosphere. In particular, oxidation of organic carbon stored in permafrost might create a positive feedback to global warming. While numerous studies have focused on the relationship between warming and carbon cycling in the Arctic, specific effects of rising atmospheric CO2 levels on chemical weathering processes and coupled changes in organic carbon dynamics have received relatively little attention. This project has two integrated goals: to identify mineral weathering reactions and hydrologic processes that control how and at what rate the inorganic solute geochemistry of water evolves during transport within soils and streams and to establish linkages between chemical weathering phenomena and organic carbon export. The work will focus on the major ion and isotope geochemistry of headwater streams and creeks draining the North Slope of Alaska. Based on preliminary data, the guiding hypothesis of the work is that the ratio of carbonate to silicate weathering fluctuates in response to seasonal changes in discharge and permafrost active layer depth, with the highest ratios observed during base flow conditions and maximum active layer depth and the lowest ratios observed during peak flow conditions and minimum active layer depth. To test this hypothesis and its implications for understanding organic carbon export, the team will: 1) Quantify rates of major cation release, CO2 consumption, and dissolved inorganic carbon (DIC) production by carbonate and silicate weathering; 2) Evaluate controls on the Ca, Sr, and C (of DIC) isotope composition of rivers and soils; and 3) Establish relationships between these tracers and other river water constituents, including H and O isotopes of water, organic matter concentrations, and the isotope composition of organic matter (both C and N). The research team will collect water, sediment, bedrock, and soil samples. Water sampling will occur from spring thaw through fall freeze-up. In the laboratory, they will conduct leaching and digestion experiments to quantify mineral weathering end members. They will synthesize data using mass-balance modeling, carbonate equilibria calculations, hydrograph separations, and elemental and isotope mixing equations. This study represents one of the first integrative efforts to elucidate fundamental linkages between the isotope and organic geochemistry of arctic Alaskan rivers. Because warming will likely alter the ratio of carbonate to silicate weathering via several feedback mechanisms, this study will establish a novel method for monitoring arctic environmental change at the watershed scale.","Biology","2011","","Douglas, Tom","Toolik","","Collaborative Research: Chemical Weathering and Organic Carbon Export From Arctic Watersheds, North Slope, AK","Alaska ","2009, 2010","2008"
"0806776","This grant funds research intended to further the understanding of physiological processes of arctic tundra vegetation during the cold season, and to determine how these physiological processes contribute to the carbon dynamics of the ecosystem under current environmental conditions and scenarios of climate warming.    In the Arctic region, changes in physical environment (warming permafrost, shrinking ponds) and vegetation changes (increased shrubs, flowering in winter) provide strong evidence that is consistent with the changes that are predicted based on the Global Climate Model (GCM) results. However, the status of these ecosystems as a global sink/source of carbon in the future hinges upon the response of the ecosystem’s physiological components (i.e. species photosynthesis, respiration, composition changes) to changes in climate. The vast majority of research on tundra vegetation has focused on physiological processes during the short 2-3 month growing season, with only a handful of studies of physiological processes during the 9-10 month long cold season. These limited cold season investigations have provided evidence that challenge the long-standing dogma that conditions in the cold season are too harsh for vascular plant species to be physiologically active. A comprehensive understanding of cold season physiological processes will further the understanding of physiological processes of arctic tundra vegetation in the face of rapid climate change.    This study is directly relevant to components of the US Global Change Research Program, which seeks to better quantify North American land carbon exchange and processes controlling its dynamics. The novel aspects of this research include a unique combination of approaches used to address: cold season plant physiology, carbon acquisition under snow, carbon turnover, sources of water for the plants during the cold season, mortality, and respiration rate sensitivity to predicted changes in temperature. The results will lead to new insights into plant physiology and carbon dynamics of two tundra ecosystems during the cold season.","Biology","2012","","","Toolik, Utqiaġvik","","Collaborative Research: Cold-season gas exchange of arctic plants - resolving winter carbon and water balances of  Alaskan arctic tundra","Alaska ","2009, 2010, 2011, 2012","2008"
